trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A200-A3907-4-21-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
TB1-TB3-5-3-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1536742201930,TB3,0,0
TB1-TB2-4-16-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1436742201930,TB2,0,0
A200-A3907-1-15-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200115996494161,A3907,0,0
A200-A3907-3-9-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
TB1-TB28-2-2-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1236742201930,TB28,0,0
TB1-TB3-4-19-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1436742201930,TB3,0,0
TB1-TB3-2-9-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
TB1-TB2-1-10-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB3-2-17-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
TB1-TB2-5-22-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1536742201930,TB2,0,0
TB1-TB3-1-7-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB3-3-12-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1336742201930,TB3,0,0
TB1-TB2-1-8-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
TB1-TB3-1-19-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1136742201930,TB3,0,0
TB1-TB3-2-11-36742201930,TB1,36742201930,Ж.К. ХАДЖИ ДИМИТЪР,,,TB1236742201930,TB3,0,0
TB1-TB2-1-12-36742201930,TB1,36742201930,Ж.К. ДРУЖБА-2,,,TB1136742201930,TB2,0,0
